,mu_buy,mu_sell,alpha_bb,alpha_bs,alpha_sb,alpha_ss,beta,avg_mark,br_bb,br_bs,br_sb,br_ss,spectral_radius,total_branching,log_likelihood,is_stationary
2019-08-13,1e-10,4.9770233108223255e-05,1413.224350721411,1351.6444648503068,484.3587173847924,1569.6189284483153,10376.059643707395,2.7160415393413766,0.36992617359287233,0.35380699793689474,0.12678593238012276,0.4108640810664123,0.6031784165774575,1.2613831849763022,1351100.13482494,True
2019-08-14,5.78295671618382e-05,1e-10,2972.0431027565573,603.4507767804538,647.6275485508781,3214.557978933547,10530.310852995655,2.6555416146423543,0.7494920378001568,0.15217866523597204,0.16331919636317485,0.8106496194564121,0.9406596195150396,1.8756395188557158,1324903.832932414,True
2019-08-16,0.0016943615066024144,1e-10,1399.7604270240415,289.76906241379805,643.9281385720623,1500.9885309188337,4998.900858275571,2.6009386906410255,0.7282983110673117,0.15076745611690512,0.33503717258803173,0.7809675076496616,0.9809208084668031,1.99507044742191,989368.7902001383,True
