,mu_buy,mu_sell,alpha_bb,alpha_bs,alpha_sb,alpha_ss,beta,br_bb,br_bs,br_sb,br_ss,spectral_radius,total_branching,log_likelihood,is_stationary
2019-08-13,1e-10,1.5922560349197657e-05,11110.233936482926,4328.096228617026,3885.0443986418936,9725.6813823859,24563.963992568843,0.4522980875498769,0.17619697822087566,0.15816031971945602,0.3959328952496486,0.5934129489553213,1.1825882807398571,1470278.0284006584,True
2019-08-14,1.122070020386525e-05,1e-10,48099.38185244655,31626.902074711674,33895.4989392526,45455.45169016477,99999.81368399701,0.48099471469459254,0.3162696100080128,0.33895562092109077,0.45455536381103295,0.7954579986167736,1.590775309434729,1550959.2305724244,True
2019-08-16,6.763133219658005e-05,1e-10,4372.033916424304,356.6320346191987,142.49479516707177,2008.7225472719024,6856.359802645423,0.6376610974729507,0.0520147782328456,0.0207828642703512,0.29297216089751693,0.6407692775706073,1.0034309008736646,994694.1788464864,True
2019-08-19,1e-10,7.772352822842954e-05,28664.668389346243,23017.42177128604,33093.05283634951,23789.05874263815,88075.55698749122,0.3254554313339999,0.26133722633800716,0.37573481188486263,0.2700983060035232,0.612355311044962,1.2326257755603929,1042637.6510399967,True
2019-08-20,1e-10,1e-10,25399.988192109846,25188.971964034845,369.79279478063626,25445.0202697776,51008.80413222104,0.4979530225070554,0.4938161635536869,0.007249587616719817,0.4988358520192123,0.55822886206376,1.4978546256966743,1287516.9420389733,True
2019-08-21,1e-10,1.5546287475925057e-05,48383.31030529907,6742.665146892878,6984.647903252457,49660.39007031656,100000.0,0.4838331030529907,0.06742665146892877,0.06984647903252457,0.49660390070316557,0.5591408314688088,1.1177101342576097,1552346.1657078941,True
2019-08-22,1e-10,9.514748402003857e-05,44952.360015032384,31921.193859220577,27910.666323962876,45055.3793872373,83601.905082793,0.5376954026408246,0.3818237614036216,0.3338520371793234,0.5389276637011783,0.8953451733296023,1.7922988649249478,1352542.297151938,True
2019-08-23,0.00037641722360749497,1e-10,25019.18300680327,2787.5151842474747,2405.626879544421,5889.527254874973,50521.65528601916,0.495217008729459,0.0551746606176394,0.04761575736039135,0.11657431296604369,0.5020327456026697,0.7145817396735334,1272864.9131240505,True
2019-08-26,7.878475639598955e-05,1e-10,39366.47700204275,11141.328246014271,28240.157235489285,39356.352994717294,80812.36555807845,0.48713432319650074,0.13786662683456766,0.3494534164476793,0.48700904524855865,0.7065664852659668,1.4614634117273064,1401643.8339046526,True
2019-08-27,1e-10,2.372079318880433e-05,6510.26565370764,5275.861555445159,714.8763886881517,6021.775821255828,13669.339304322883,0.47626776311337815,0.3859631718832735,0.05229780114259615,0.4405315931656962,0.6015928821408077,1.3550603293049441,2123413.0855984814,True
